text,created_at,retweet_count,favorite_count,is_retweet,id_str
First time in 22 years. Mike will be a GREAT CONGRESSMAN! https://t.co/rNzwwFkzSZ,5/14/20 0:55,21570,97985,FALSE,1.26074E+18
Intel chief releases info on ‘unmasking' of Flynn to Capitol Hill https://t.co/21wRsUboOf via @politico,5/14/20 0:53,16676,54395,FALSE,1.26073E+18
THANK YOU WORKING HARD! #MAGA https://t.co/NytV20gopi,5/13/20 15:40,29084,130137,FALSE,1.2606E+18
As I have said for a long time dealing with China is a very expensive thing to do. We just made a great Trade Deal the ink was barely dry and the World was hit by the Plague from China. 100 Trade Deals wouldn't make up the difference - and all those innocent lives lost!,5/13/20 14:33,45539,183300,FALSE,1.26058E+18
"When the so-called ""rich guys"" speak negatively about the market you must always remember that some are betting big against it and make a lot of money if it goes down. Then they go positive get big publicity and make it going up. They get you both ways. Barely legal?",5/13/20 14:16,46757,192481,FALSE,1.26057E+18
Obama was always wrong! https://t.co/xRU4kJtExs,5/13/20 13:28,43829,169620,FALSE,1.26056E+18
Does anybody believe this man? Caught! https://t.co/WfnIqs6BsE,5/13/20 13:26,33033,113518,FALSE,1.26056E+18
"""Newly released documents show Schiff knew all along there was no proof of Russia-Trump collusion."" Wall Street Journal",5/13/20 13:14,48760,180715,FALSE,1.26056E+18
Big Congressional win in California for Mike Garcia taking back a seat from the Democrats. This is the first time in many years that a California Dem seat has flipped back to a Republican. Also Tom Tiffany beat his Democrat rival BIG in Wisconsin. Two great Congressional WINS!,5/13/20 12:58,39008,166357,FALSE,1.26055E+18
Women for Trump co-chair: Biden might not be 'ultimate nominee' and Dems engaging in 'elder abuse' https://t.co/Cn8akDaNzO,5/13/20 3:33,15094,51747,FALSE,1.26041E+18
"Fake @PulitzerPrizes must be taken back. These ""journalists"" got everything wrong. Give them to the real journalists who got it right! https://t.co/at2oRBwdOS",5/13/20 3:13,23168,72883,FALSE,1.26041E+18
Shifty Schiff exposed! https://t.co/PmZ6uPc2LQ,5/13/20 3:08,35255,117794,FALSE,1.26041E+18
